Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
1,24,126529782,108219655,48.57792672,34.84556724
2,26,119904649,102625793,50.47391809,36.78008245
3,30,108569242,94575326,52.05683571,39.35320061
4,32,98139956,88897357,50.42845746,39.44585608
5,32,89341356,85419537,46.81494986,37.56465309
6,30,85335212,86025028,43.30813535,35.29404883
7,30,89044567,92524925,41.45019514,34.15305525
8,31,101098088,104916160,41.66325835,34.88758529
9,35,119683389,121327010,43.78211184,37.56693257
10,40,141609478,139106441,47.64697207,41.91032844
11,46,163631528,156061699,52.90327473,47.27151443
12,51,183404157,171070322,58.48840964,52.47766019
13,55,199439144,183560666,62.86263364,56.10357317
14,55,210281121,192401745,65.05631555,57.23459761
15,52,214456355,195901118,65.44804396,56.07680427
16,47,212013852,193578405,65.41555517,53.82906651
17,42,205782110,187666763,66.21438134,51.9222072
18,39,199985900,181947520,68.09846248,51.23358797
19,38,197149929,178799262,70.27986756,51.78663439
20,39,196705693,177780732,71.57827558,53.00514658
21,42,196745369,177207045,71.21028895,54.21845304
22,46,196874858,176836746,69.17950295,55.02094829
23,50,199402220,179040792,66.05200587,55.28712773
24,53,207727071,187318096,62.38178465,54.94459631
25,54,222632974,202762891,58.31688853,53.77434387
26,54,239130380,220944974,53.70873526,51.46251246
27,52,247529966,232674945,48.56951796,47.92737833
28,48,239635160,229620027,43.41341257,43.67263812
29,44,215437697,210685551,39.11669829,39.7722143
30,42,183978513,183337527,36.36447025,37.33254984
31,42,157319373,158585389,35.17487082,36.80838958
32,44,143238597,144327848,34.98095013,37.80016796
33,48,142819444,142609676,35.23468918,39.54689133
34,51,153505469,151751393,35.9662066,41.62934397
35,55,173034202,169688491,37.74680254,44.18681891
36,58,199993875,194693444,41.07203881,47.47980207
37,62,231322149,223419718,45.74155858,51.32419408
38,65,260661198,249603568,50.81674683,55.01949239
39,66,280470095,266144855,55.1960652,57.82375916
40,66,286492234,269348322,58.30492366,59.46882873
41,66,280274041,261228502,60.33305334,60.23145585
42,65,267113409,247336824,61.85389429,60.53765995
43,64,251404426,232074892,63.19051181,60.48577885
44,61,233958362,216034187,64.15612753,59.74497855
45,57,213625784,197650030,64.47093573,57.97821319
46,52,190901982,176873249,64.38701519,55.41356725
47,46,169447260,156838694,64.67502117,52.92678989
48,42,154398003,142359690,65.7851935,51.42673072
49,40,149978474,137608446,67.04570097,51.10446985
50,40,158671698,145170474,66.85755633,51.28884447
51,43,181068224,165734133,63.77766568,50.97102676
52,46,214456134,196690702,57.46502898,49.38309564
53,48,250985113,230492650,48.75368814,46.16855468
54,47,278768804,255901358,39.05900475,41.31137265
55,44,287311059,263266014,29.74070098,35.16686563
56,38,273738262,250326574,21.73742498,28.53960223
57,31,244476132,223467716,15.46038531,22.51886684
58,27,211081961,193457067,10.94967528,18.0958668
59,25,184370790,169886341,8.287102,15.91730282
60,26,171275840,158561371,7.963692581,16.32220275
61,30,174503064,161628631,10.73361402,19.38611959
62,35,192500593,177761674,16.91621552,24.74710579
63,40,219350960,201914213,25.7920957,31.45629901
64,44,246480790,226587546,35.79091832,38.24253833
65,47,266644387,245342154,45.35007023,44.11173427
66,48,277651612,256342417,53.55670347,48.7330754
67,49,282824785,262945074,59.98082147,52.25331955
68,51,287730589,270561236,64.15489783,54.81913007
69,52,295870062,282207392,65.597758,56.38503567
70,55,306900702,296485356,64.50037328,56.98744251
71,57,318382717,309453664,62.19259398,57.06971693
72,60,328226280,317775247,60.60689707,57.35869481
73,61,334513195,319402773,61.05638538,58.30523496
74,61,333345786,311749340,63.41865249,59.62034512
75,60,318892572,291184714,66.41469315,60.40678965
76,57,287770989,256317498,68.66205,59.85979243
77,52,244282475,212250463,69.63075661,57.99460499
78,47,200713300,170592697,69.85501417,55.78376712
79,44,171124123,143801226,70.35811475,54.53617726
80,43,163324306,138158835,71.80775288,55.01000312
81,45,175328838,151001203,74.09542817,57.01055337
82,48,198204635,173667112,76.59041237,59.72376447
83,52,221933028,196923318,78.59408182,62.27250417
84,54,239818564,214821602,79.37019151,63.87332882
85,55,249588178,225462966,77.83445566,63.64131083
86,54,251890364,229496803,72.67098492,60.63921842
87,51,247863261,227943370,63.30042055,54.46826808
88,45,237683083,220963690,51.00099735,45.93228161
89,38,221459507,208648089,38.91285229,37.02312337
90,32,201780970,193194596,30.50252479,30.04158457
91,28,185079125,180099222,27.58414606,26.48930129
92,26,179400204,176280354,29.51611831,26.54992666
93,27,189326210,185659824,34.06324349,29.34485777
94,31,211898678,205470711,38.89734078,33.48330732
95,36,237366010,226780472,42.4708541,37.47392349
96,40,254780477,239516152,44.03578614,40.04264941
97,41,258104335,238207420,43.43801885,40.51813752
98,41,248195812,224069740,41.13167185,39.1304061
99,39,230310835,202784887,38.22197369,36.92625231
100,38,210505264,180948428,36.15475704,35.26135059
101,37,193592888,163787593,36.04227463,35.12478181
102,39,182427480,154216040,38.06212788,36.64176627
103,40,177463132,152401878,41.41172233,39.03314907
104,41,176762874,155943245,44.86071631,41.08957704
105,40,177145037,161162300,47.441775,41.88176732
106,37,176301635,165287927,48.78201421,41.25148216
107,34,174730441,168381635,48.9897144,39.80652663
108,32,175938251,173475570,48.37561519,38.49440959
109,32,184053114,184141316,47.29334356,38.05979001
110,35,200071494,200870193,46.14098748,38.69751845
111,38,219895535,219422075,45.34077065,40.04141275
112,41,236369712,233066489,45.1526977,41.4196791
113,43,243900106,237021427,45.4904392,42.22553582
114,42,241674881,231247267,46.04092847,42.25289884
115,41,232741747,219305600,46.58895671,41.77936919
116,39,219970123,204507279,47.04837606,41.20604181
117,37,202795958,186909002,47.06458376,40.45937648
118,35,178061462,164033779,45.78067017,38.78782683
119,31,144399841,134799035,42.30656121,35.33342884
120,26,105860723,102782741,36.53340671,30.00686466
121,20,70851290,75190268,29.42370078,23.77196003
122,15,47034019,58077792,22.48207565,18.052311
123,12,36881262,52363020,16.98128868,13.89418666
124,10,37851981,54525515,13.61728262,11.66733222
125,11,46545824,61198646,12.64076138,11.38114073
126,13,62504134,72996533,14.03779337,13.04898521
127,17,88004079,93777784,17.50867475,16.64899948
128,23,124206708,126041502,22.43275895,21.82922879
129,30,167492218,166819527,28.06086827,27.81615209
130,37,209769002,208024260,33.82481831,33.715665
131,42,243068779,241267164,39.46624658,38.96506155
132,46,264636069,263055863,44.92807226,43.57116914
133,50,277679839,275649565,50.20016474,47.95394806
134,55,286685478,282764410,55.21033477,52.47798311
135,60,291804085,284531141,59.68993926,56.98070845
136,64,288432160,277234817,63.06772465,60.68611579
137,67,273087073,258584910,64.61232618,62.65333817
138,67,249874712,233239716,63.87107503,62.4501769
139,66,230666333,212540073,61.11687618,60.52302083
140,64,227990579,207839574,57.45337898,58.01201156
141,63,246510647,222891013,54.46947199,56.20568391
142,64,280175657,251643090,53.59884193,56.0021204
143,65,317008447,283004150,55.49776721,57.62439612
144,67,347024729,308224252,59.77640184,60.6492303
145,69,366791834,324864420,65.23059474,64.25978823
146,71,377988008,335064952,70.4097226,67.5603194
147,72,382702750,340887198,74.18846538,69.81925512
148,72,380068180,341131489,76.07398869,70.58240432
149,70,366640955,331859835,76.14561368,69.66274251
150,66,339734117,309768776,74.73784964,67.09702363
151,60,300900131,275701231,72.17106983,63.19295179
152,54,256763247,235610031,68.75386583,58.62122223
153,49,216469886,198225151,64.9171946,54.30009465
154,46,187778311,171263788,61.18401973,50.98764081
155,44,174694361,158933914,57.98887677,48.94514839
156,45,177657864,161839933,55.62940102,48.07688512
157,47,194723221,178039306,54.38656202,48.36731883
158,50,221877005,203531718,54.50610077,50.00548238
159,55,252877421,232322872,55.91879347,52.98889189
160,61,280707541,257830300,58.04107712,56.72113759
161,66,301012669,276057927,59.97594143,60.14563938
162,70,314419258,287824164,60.9104827,62.27157726
163,71,324438836,296908885,60.28119542,62.52010857
164,70,332200443,305014473,57.69465947,60.67348572
165,66,333326898,308425946,52.98817495,56.74611398
166,60,320529475,300013573,46.57327637,51.08034936
167,54,289755900,274957657,39.68246528,44.5392258
168,46,244419794,235178534,34.08599805,38.4554138
169,40,194303666,188989676,31.3421102,34.21076335
170,36,150313506,146629187,32.09177863,32.65404791
171,35,119177128,115226348,35.84351899,33.70807504
172,35,101630307,96601234,41.27143575,36.41506966
173,36,94552424,88675050,46.76703956,39.42215748
174,36,94521236,88456466,51.04629765,41.67176258
175,36,99812257,93937914,53.70871872,42.94926464
176,36,110008498,104033420,55.49811428,43.97687925
177,38,124680507,117738435,57.91786422,45.943506
178,42,142842993,133903905,62.23224078,49.70749526
179,47,163351989,151638362,68.49125774,55.17845516
180,53,185139318,170331084,75.3378188,61.28061288
181,59,206612114,188851181,80.78668189,66.4847698
182,62,224948759,204779469,83.43763569,69.55896835
183,64,236529769,214836141,83.28329187,70.13347845
184,63,238656840,216536012,81.54863673,68.78744776
185,60,231283551,209822276,79.66225799,66.57463427
186,57,217310466,197362006,78.10595354,64.25545805
187,53,201275351,183354201,76.04886419,61.80906605
188,51,187671064,171947418,72.13654708,58.67940172
189,48,180164607,166453688,65.8791399,54.59042977
190,47,181633618,169381071,58.4653036,50.16112643
191,45,193799212,182217474,52.15907582,46.63271187
192,45,215770297,204237404,48.64650818,44.85212461
193,45,242579458,231147655,47.75576915,44.45855774
194,45,265865219,255486875,47.73652591,44.11842254
195,42,277602727,269751321,46.84835849,42.66771725
196,39,274653578,270447926,44.79898921,40.12381124
197,36,260151226,259558727,42.80434486,37.64330488
198,34,240397520,242115647,42.39082553,36.51998896
199,34,220733420,222816663,44.13246582,37.19966005
200,34,204576119,205287158,47.36867786,39.15681682
201,36,195211281,193516908,50.90781139,41.54189818
202,38,196370526,191948449,53.88940661,43.81804382
203,40,209860260,202884420,56.09611124,45.85111592
204,42,232836665,223817317,57.74324537,47.64903087
205,44,257901336,247635848,59.19509917,49.22651907
206,45,276206208,265741458,60.80803434,50.68365309
207,46,281339149,271826553,62.74694076,52.19278187
208,48,271861697,264238700,64.71310316,53.73256381
209,49,251861026,246404752,65.8512565,54.84543669
210,50,229910712,225867308,65.12787318,54.8091853
211,49,216516116,212099205,62.055703,53.19387565
212,48,219673785,212608515,57.19440701,50.27777449
213,46,239758796,228235202,51.92186726,46.85794683
214,44,267630223,251218271,47.60613605,43.63958438
215,40,289231098,269226573,44.88574198,40.87139711
216,37,294538760,273446237,43.62529905,38.57891463
217,34,283786851,264117889,43.4204341,37.00956031
218,32,265684110,248699961,44.08042747,36.68607099
219,34,249694262,234819704,45.71073282,38.00893347
220,37,239461441,224709265,48.45370788,40.88868234
221,41,232132180,215277253,52.1357028,44.7524489
222,46,222296800,202148523,56.03551517,48.77936404
223,50,206495679,183610696,58.97286914,52.11134009
224,53,185951080,162422534,59.83745858,54.07155822
225,56,167025481,145473628,58.32987657,54.47941384
226,58,158786699,141167619,55.32324645,53.83754589
227,59,167707656,154672553,52.43416083,53.07254406
228,60,192312123,183387718,51.0731458,52.91783047
229,60,222070427,216282031,51.67805936,53.41036786
230,59,242144584,238502609,53.58775116,53.85889987
231,56,241117138,238745880,55.50633492,53.26641009
232,50,216968034,215075789,56.24079507,50.95081091
233,43,178124894,176074935,55.32262254,47.01256182
234,35,139296183,136821564,53.13219816,42.31093561
235,29,114434458,111851850,50.42697757,37.91112902
236,24,110733069,108986461,47.68695217,34.44855757
237,22,126796650,127247498,44.87660482,31.971415
238,21,155027341,159019935,41.795945,30.33685549
239,23,185531781,193856156,38.64319668,29.69178506
240,27,209164044,221602160,36.29402981,30.56147093
241,34,219710912,234867117,36.05756164,33.49444938
242,42,216218941,231753938,38.9855044,38.57107405
243,49,204746596,217954469,45.09981788,45.14067995
244,56,197074320,205580119,53.07323529,51.97845643
245,60,205280273,207609165,60.69025393,57.76704932
246,63,234937059,230792777,65.8718676,61.59708257
247,65,281875152,272064363,67.65430047,63.24421926
248,66,335070404,321092413,66.58566917,63.20535871
249,67,383103084,366539952,64.34894935,62.5336082
250,68,418746951,400731286,62.7917975,62.41613861
251,70,438539146,419605938,62.88510857,63.5381915
252,73,439513353,419917351,64.2377422,65.57798156
253,76,418220629,398429306,65.43151,67.25005205
254,76,374318690,355235164,64.87557675,66.96946728
255,72,315126930,297873112,61.64974618,63.77150739
256,66,255302523,240829647,55.97715002,57.95234518
257,58,210216671,199115147,49.19157164,51.05188382
258,51,187996599,180543167,43.22075019,45.16831518
259,48,186530403,182674676,39.80345624,41.99407386
260,48,196926338,196032942,39.79932394,42.11860552
261,51,209484051,210101020,42.85011172,44.9000427
262,55,217423075,217556204,47.44185159,48.80486857
263,58,217086857,215060162,51.36326603,51.95885822
264,58,206810944,202142576,52.55648504,52.78094654
265,56,187004465,180540849,50.11083397,50.62306688
266,52,161701076,154785755,44.8004314,46.14482344
267,47,139371539,132602558,38.66431237,41.04804927
268,44,130445408,122915944,33.81477,37.14141024
269,43,141494993,131072001,31.31024506,35.29227715
270,42,169650730,154140341,30.86895512,35.03366484
271,42,202119215,180615018,31.48604642,35.11663306
272,40,222663196,196285862,32.3185609,34.52712714
273,36,221445599,193039320,33.10528231,33.13830662
274,32,201328557,174270249,33.91950058,31.5623572
275,29,175894501,152701296,34.70492273,30.51082479
276,28,160726267,142273857,35.2037253,30.34909049
277,30,164356372,150078197,35.38008929,31.17691745
278,33,184536206,173262159,35.77747563,33.08464704
279,38,210699396,201418756,37.18599652,36.03643024
280,43,229829924,221921953,39.73187543,39.40549682
281,45,232637128,225668646,42.28987368,41.8301702
282,45,217857468,211335762,42.99899578,41.87923973
283,41,192806418,186126471,40.61413137,39.10852132
284,37,169186537,161743568,35.53432074,34.51363084
285,33,155909341,147282120,29.59939785,29.87523329
286,31,153550747,143719859,24.89006616,26.5675586
287,29,154721935,144226713,22.60275695,24.89994109
288,28,150304310,140123677,22.79963772,24.45550502
289,27,136630341,127685743,24.88741045,24.86520241
290,26,118018662,110544939,28.13817474,26.13805306
291,27,103407120,96637410,31.88354027,28.34228463
292,30,100741027,93141980,35.56337945,31.213707
293,33,113512230,103390381,38.83974903,34.22726315
294,36,140648364,126724380,41.64858768,36.99526843
295,39,177973707,159642486,44.02907052,39.48970308
296,42,219374079,196676077,45.90347299,41.89161574
297,46,257464983,231013373,47.10211072,44.30626719
298,50,284607219,255649930,47.6137062,46.62110124
299,54,294779502,265261168,47.73611792,48.54735846
300,56,285918923,258170275,47.92317477,49.76373928
301,57,261614857,237500683,48.50987344,50.13699461
302,55,230643420,210588117,49.63479325,49.96743326
303,53,203368652,186051798,51.35925073,50.01237723
304,53,186343723,169465710,53.66706403,51.0441615
305,55,179055149,160663183,56.2423841,53.16495882
306,58,175983464,155350606,58.37562668,55.53852815
307,60,172351841,149865377,59.29780561,56.91400343
308,60,168198954,144611347,58.70807949,56.53077716
309,58,167468336,143239941,57.00329816,54.63783171
310,55,174207703,149302838,55.04166103,52.28004922
311,52,190227918,164250551,53.67905158,50.62574705
312,52,215626177,188131536,53.3896117,50.34889842
313,54,249751092,220729489,54.12579811,51.39996521
314,56,290166019,260587191,55.40581404,53.16053919
315,58,330545797,302540226,56.51247753,54.74762474
316,59,360787907,337069714,56.68914376,55.27149926
317,58,370936503,353635069,55.3154147,54.04827079
318,54,356634144,346258237,52.10208932,50.83504506
319,49,322048777,317239516,47.27542334,46.02269911
320,43,278330593,276462618,41.64237792,40.63775949
321,39,239032981,237221696,36.46133329,36.10941533
322,38,215160236,211167211,33.11184896,33.86486376
323,40,211591260,204302621,32.59535653,34.8166364
324,46,225972225,215328669,35.02351259,38.88853001
325,55,250985511,237467685,39.45758101,44.92142939
326,63,279133685,263118832,44.41094595,51.2286557
327,70,306468906,287802585,48.81628915,56.55108903
328,75,332049168,309995403,52.70908912,60.6874469
329,78,354322346,327865351,56.95557701,64.25418589
330,80,369158536,337540699,62.15229486,67.77853738
331,81,372304439,335602095,67.6504163,70.93615067
332,81,363920258,323347074,71.66545297,72.63567759
333,78,350615072,308274848,72.50080161,71.91943234
334,75,342958707,301070198,69.87254581,68.92610219
335,71,350146616,310168367,65.18732316,65.06298742
336,70,374776737,337027692,60.54065603,62.15299674
337,71,410083473,374169339,57.28440476,61.15903718
338,74,441334619,407085895,55.27870367,61.4601446
339,75,451921969,420096859,53.27674363,61.24271929
340,73,431731080,403876568,49.99684212,58.71236942
341,66,382596598,360132776,45.04678692,53.24187864
342,57,316883926,300103098,39.13515603,45.7045254
343,46,250559848,238282861,33.58307072,37.91174437
344,37,196339925,186451194,29.58322768,31.67963597
345,31,161224371,151659728,27.68048045,28.13608375
346,30,147871703,137341445,27.64503174,27.50415895
347,32,156323032,144326412,28.62529703,29.20603032
348,38,183909769,170220024,29.46078926,32.08510422
349,43,224213728,208433914,29.15934064,34.74715739
350,48,267320321,248934058,27.47356598,36.08645001
351,50,302505261,281293916,25.24590278,35.83076512
352,48,322382705,298754025,24.11121839,34.7127074
353,46,326142394,301085265,25.53181574,34.03099084
354,43,319610785,294350889,29.73886722,34.82689591
355,42,311458499,287043736,35.3685282,37.20569712
356,44,307406331,284373769,40.12632896,40.21776257
357,46,306361576,284551381,42.06164133,42.35620113
358,48,301830495,280416925,40.61512448,42.39513025
359,47,287835616,265646322,36.80182398,40.09137587
360,43,264092672,240184307,32.49483441,36.29733323
361,38,235630287,209893612,29.32434604,32.38429659
362,33,207903056,181319815,27.86279795,29.37939921
363,30,183201390,157476372,27.51598445,27.44194877
364,27,161945596,138649825,27.12344724,26.02945548
365,25,146167663,125936782,25.90657192,24.58164677
366,24,140040125,122338488,24.18066921,23.18736725
367,24,146262980,129762134,23.30102269,22.70888191
368,26,162180058,145399899,24.79649515,24.22801129
369,30,179935844,161785178,29.32693975,28.23285272
370,35,190949002,171009051,36.29955976,34.21348994
371,41,191003397,169543641,44.35535611,40.96547909
372,47,181974027,159751817,52.13367985,47.25665911
373,51,169385830,147340124,58.65019861,52.28862577
374,54,158459878,137436578,63.2506548,55.74828681
375,55,151956448,132550410,65.5599048,57.67509733
376,57,150787872,133296204,65.64591154,58.39676493
377,59,155746716,140158763,64.18635049,58.52932537
378,61,168279344,154214590,62.3519969,58.8862586
379,65,189715421,176298962,61.39474542,60.21999094
380,70,219770355,205577574,62.14074637,62.8684603
381,75,255577336,238827085,64.5876689,66.47591067
382,79,292226647,271249548,67.76904611,69.98591314
383,81,324734692,298527114,70.02346662,72.00370407
384,80,349905203,318516228,69.63209607,71.37303035
385,76,366477727,331079134,65.54696657,67.64313853
386,70,373997740,336622304,57.91484639,61.24097628
387,64,372393812,335435898,48.24130924,53.39571181
388,57,362903260,328547746,39.04855093,45.84482466
389,51,348747025,318476271,32.93450155,40.26204463
390,47,334234445,308487858,31.38114962,37.56918713
391,44,323028084,301089459,34.08880464,37.59059245
392,43,316802296,297052776,39.30764622,39.32047905
393,42,314388025,294978394,44.81524949,41.52810703
394,41,311411300,291119570,48.81462957,43.22000763
395,41,301505471,280313481,50.39110453,43.79369546
396,40,279667396,258684519,49.61412589,43.04122859
397,39,245955496,226704707,47.42916788,41.16294898
398,36,206720522,190193550,45.36536767,38.80994964
399,32,172412233,158428230,45.06341514,37.06439596
400,30,153257648,140468530,47.68655693,37.19189497
401,30,154736025,141246513,53.38412744,40.09086078
402,34,174792850,159009757,61.1257788,45.72078185
403,42,204743846,185942694,69.17689096,53.03683925
404,51,234199468,212512909,76.02140416,60.59822107
405,60,257097723,233057946,81.02757161,67.32308315
406,68,274477209,248537183,84.3115391,72.72336053
407,75,292123112,264518500,86.0927504,76.61301269
408,79,315208689,286235018,86.36501093,78.86877343
409,82,343821800,314347602,85.17784749,79.54646696
410,83,372148445,344032571,82.90407356,78.98525904
411,83,391668828,367672955,79.88105097,77.50740405
412,81,396287436,379218469,75.81705434,74.99564097
413,79,385974184,377298291,69.910118,70.97875317
414,75,366505162,365238275,61.83403291,65.29930655
415,70,345801833,348493158,52.60912637,58.69031596
416,66,329564023,331519139,44.37699032,52.61474724
417,62,318678531,315811776,39.17952725,48.45038206
418,60,309363122,299794568,37.71940358,46.67814729
419,59,295769604,280452403,39.00275551,46.66260783
420,58,273748811,255788093,41.06700504,47.12973804
421,56,243513251,226420192,42.26965909,46.97166726
422,54,209329596,195128721,42.21805451,45.79551985
423,50,176698094,165031475,41.64069892,43.83628655
424,45,149537456,138291449,41.37360231,41.41933303
425,39,129413236,116326700,41.48276016,38.60586801
426,33,116678760,100759512,41.40708629,35.4363813
427,27,111932298,93808701,40.88794005,32.4511638
428,24,116257741,97495751,40.56642519,30.75383701
429,24,129816409,111932429,41.48574108,31.32017098
430,27,149971586,133836482,43.92418508,34.08510031
431,32,171169178,156935949,46.74661516,37.68890891
432,36,187792689,175042801,48.06226905,40.27885357
433,39,198385266,186240355,46.7743818,40.85548344
434,40,207553883,194802316,43.68306209,40.0864446
435,42,223102192,208509976,41.10479255,39.85325873
436,46,250148074,232933357,41.32932375,41.87914474
437,52,287333721,267503002,45.26342307,46.60669111
438,59,328662274,306847046,52.2128273,53.16682421
439,66,368850327,345608775,60.5345139,60.17087757
440,71,406443073,381522830,68.3182675,66.41056721
441,75,441623821,413902352,73.71227575,70.94518767
442,78,471620580,439959518,75.11711013,72.84934886
443,78,489158134,453543402,71.54465591,71.20622986
444,74,486104653,448076144,63.10694646,65.56861214
445,67,459266348,421245782,51.27470676,56.52381386
446,57,413444753,377562416,38.52591466,45.77465433
447,47,359595458,326962080,27.41040155,35.5251844
448,38,309972035,280760772,19.59320193,27.57825225
449,32,273659741,247593629,15.5123497,22.7746714
450,29,254265428,230949014,14.73044004,21.02412827
451,29,249381925,228346866,16.46271592,21.65455739
452,30,251267415,231988518,19.78357115,23.69581036
453,31,249320157,231403244,23.56771279,26.03085453
454,31,234727078,218167620,26.6056439,27.6177021
455,30,205439089,190703996,28.07922128,27.86291397
456,28,168073656,155898954,28.03524336,26.91562347
457,26,134920289,125952524,27.35491161,25.5882138
458,25,117644902,112146427,27.15147886,24.88375146
459,25,121340463,119079169,28.03232417,25.4118549
460,27,142001641,142295071,29.74601202,27.04165736
461,29,168481449,170312375,31.40941879,28.98799223
462,31,187959648,190116755,32.10051693,30.28544146
463,32,192458724,193678054,31.39495649,30.37550528
464,32,183093590,182175970,29.52197545,29.42961254
465,32,169134862,165069097,27.12110213,28.17569832
466,32,161594231,153775531,24.85339288,27.34980131
467,34,165270072,153802254,23.15588546,27.19209742
468,35,175419370,161256077,22.24893076,27.38098926
469,35,182090401,166714493,22.31279706,27.45663766
470,34,178610087,163271040,23.67526801,27.40803834
471,31,167130797,152102859,26.86176956,27.97331597
472,31,157095169,141502821,32.4033958,30.39349539
473,34,158726489,141050084,40.41594199,35.71022094
474,42,177170249,155985909,50.16128644,43.99495005
475,53,211109862,185513521,59.93504664,53.98204477
476,65,255083064,224729175,67.51564735,63.38615993
477,75,302053818,267239173,71.06435279,69.79851237
478,80,344376369,306449999,70.00053115,71.7083893
479,80,374546564,336243531,65.28643816,69.11894875
480,74,387563372,352529251,58.90389449,63.46928346
481,66,383808966,355167995,52.8834271,56.95880795
482,60,369410807,348200779,48.52875933,51.63840634
483,56,353066897,337684473,46.18788211,48.66740924
484,55,341689388,328799227,45.44013563,48.01169322
485,56,337764695,324053253,45.44198397,48.6808517
486,58,339179212,322787454,45.34049288,49.3779625
487,58,340728442,321552643,44.66740592,49.19839478
488,57,336695288,315631188,43.47448354,47.97086572
489,54,323899998,301791869,42.10638086,46.13144158
490,52,303770363,280831120,40.90403564,44.39516693
491,51,281947539,257869766,40.18083545,43.50446035
492,52,265605120,240040560,40.35471244,44.03141888
493,55,260362653,233322613,41.82790863,46.10352308
494,59,268667367,240619275,44.5681459,49.194046
495,62,290047399,261734094,47.86088023,52.29729298
496,64,322039510,294174112,50.61083128,54.48591581
497,64,360118846,333150576,51.96396429,55.37498973
498,64,396436337,370541653,51.69745838,55.07389871
499,62,419648734,394932483,50.158174,53.79760021
500,60,418496726,395187353,48.0097538,51.68284891
501,57,388388667,366785919,46.07879058,49.02967303
502,52,336201088,316351032,45.26911982,46.59837
503,49,278668395,260025014,46.32914075,45.46262205
504,48,234538739,215965291,49.40447842,46.3609152
505,49,215422191,195674236,53.61927434,49.00713737
506,52,220772478,199225341,57.14123623,51.95220487
507,54,239297953,216428900,58.01833357,53.24903309
508,53,255513858,232745894,55.43841644,51.58840289
509,48,257921365,236848221,50.44303385,47.13867378
510,41,244500943,225958059,45.31521633,41.42766379
511,34,222251483,205848722,41.94324943,36.28788607
512,28,200983225,185447495,40.44658434,32.63979082
513,23,185939163,170084635,39.20684543,30.04681315
514,21,175171698,158854655,36.28628268,27.37096074
515,19,163569802,147942065,31.10880807,23.98100383
516,17,149185561,136054050,25.11546067,20.51584693
517,18,135564057,126349759,20.90844821,18.54411453
518,20,128417445,123465111,20.51882944,19.36225309
519,24,130828085,129410918,24.07210944,22.92322639
520,28,141632636,142395553,29.7981261,27.7898049
521,32,157180104,158590927,35.25192403,32.08943374
522,34,173394528,174056421,38.6774344,34.58585135
523,34,186257304,185195696,39.51026462,35.025564
524,32,191660471,188620361,37.98383153,33.74098017
525,30,186416368,181974639,34.6157983,31.16458656
526,28,170695837,165963593,30.15260271,27.77044491
527,25,149975540,145935500,25.72751209,24.29786537
528,23,133689621,130555060,22.65355962,21.73243213
529,21,129920694,126987076,21.79049823,20.82735886
530,22,139673067,135812733,23.03144804,21.55496241
531,23,156005069,150433235,25.39512831,23.07405495
532,23,169496972,162176919,27.65116687,24.34801758
533,23,175561089,166923360,29.02009682,24.93552063
534,23,177367910,167652025,29.56601856,25.33575607
535,25,182414266,171282643,30.16735335,26.680252
536,31,196296569,183076673,32.09761787,30.0503701
537,39,218759969,203057912,36.33039269,35.85986918
538,48,244286457,226392908,42.87979709,43.60356756
539,58,266016806,246760571,50.63063521,52.04608726
540,67,280138184,260365962,57.8541207,59.71140824
541,74,287755385,267944301,63.06116812,65.39537209
542,78,292616554,272977228,65.59241311,68.45734851
543,79,296372227,277312876,65.65260741,68.84523122
544,77,296063827,278514190,63.97122518,66.98736849
545,72,287098505,272289737,61.41796879,63.680738
546,67,269294200,258051745,58.72986095,59.9634687
547,63,249847774,241855801,56.35679112,56.88444649
548,61,239903684,233457331,54.4429471,55.18984314
549,63,247676707,240168259,52.96798197,55.11230679
550,66,273947520,262887873,51.95363731,56.42895899
551,72,312748963,296750500,51.52345454,58.69389583
552,77,355154839,334314584,51.6907592,61.34831169
553,81,392379706,367965699,52.05474165,63.60165988
554,83,416682455,390518842,51.80192177,64.38500087
555,81,421516810,395504981,50.18726233,62.71653645
556,75,402950966,378809219,47.14108361,58.33834546
557,66,362515929,341548510,43.44653436,52.08640635
558,55,309307139,292100784,40.35488126,45.66028402
559,47,258618240,244801885,39.02198932,40.9754424
560,42,226635249,214884875,40.14782905,39.50600514
561,44,223977638,212278543,43.84282427,41.85810975
562,50,251750931,237814240,49.58785555,47.60310701
563,60,301523021,283324003,56.29244285,55.36196904
564,70,358337843,334769098,62.54745468,63.16922035
565,78,405818282,377213725,67.0537721,69.09586124
566,82,432675230,400735150,69.04647942,71.94840637
567,82,438117049,405046645,68.49798297,71.70452814
568,79,431843340,399217455,65.99647644,69.38311217
569,77,426830450,395038210,62.37945735,66.35984059
570,75,429405515,398022553,58.34221776,63.5473461
571,74,434575314,403176967,54.25154902,61.00712554
572,72,430466741,399130434,50.24855314,58.24484869
573,68,407715511,376941768,46.48428091,54.87091973
574,64,365935327,336298960,43.20390519,51.01210121
575,58,313259858,285182408,40.59233407,47.18210221
576,53,261364883,235061027,38.66010002,43.93237568
577,50,220593962,196020997,37.45435584,41.75265745
578,49,197180011,173981117,37.3692603,41.16694114
579,50,191983526,169645468,38.99236775,42.55131046
580,53,200587464,178886709,42.40822721,45.59842125
581,56,215501888,194888067,46.66181557,49.04821708
582,57,229844055,211289044,50.06027657,51.20991651
