Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
14181,61,357563719,343209004,40.41215478,48.26116521
14182,61,317951215,307477150,47.58829042,51.80724193
14183,60,287091485,262642949,56.58486087,55.4537127
14184,58,287164830,267848931,60.58689601,56.49470185
14185,60,387201217,362169101,46.59499866,50.82600494
14186,62,284616037,264680078,54.94814221,55.99428722
14187,59,299101216,280672168,50.60014474,52.46960032
14188,62,379522513,356058779,56.27252682,56.25193655
14189,65,358011493,338293856,43.71586727,52.11803543
14190,60,315799468,281099064,50.86140212,52.78952592
14191,57,260157113,260707426,54.85438626,53.1675143
14192,81,389414067,350621864,70.89853887,72.26741206
14193,67,380262041,361880489,64.78246053,62.70303504
14194,64,365368664,359019494,45.70679244,52.57886624
14195,59,328870279,314955075,50.62034086,52.52656199
14196,73,334623788,306532031,65.60908672,66.04154006
14197,55,342635273,332737168,49.58081552,50.19737831
14198,59,239363594,220771729,45.1235227,49.49602272
14199,69,455179554,429024623,50.18789517,56.93445885
14200,65,284039991,249760173,70.33880411,64.42246156
14201,57,310859562,289358484,61.5886381,56.68233613
14202,54,307171378,288721600,41.45612375,45.75131955
14203,82,465473503,428034736,68.7520852,72.03326349
14204,62,127571990,112095735,64.42296985,60.46648304
14205,61,350508681,318668795,62.46408646,59.17682176
14206,65,265469859,237209007,54.589977,56.9349801
14207,59,347044167,303672717,67.83767744,60.7913299
14208,67,318774602,296811841,57.37436771,59.24114574
14209,70,291564502,268659506,79.74320327,71.20462395
14210,67,312704190,282997527,67.23563386,63.88333673
14211,62,306759262,279153260,42.21364561,49.68681943
14212,56,266141410,221663329,59.05010581,54.86389474
14213,56,360126602,316633160,49.75195878,50.5519481
14214,62,398004741,369663197,55.74356916,56.40725811
14215,56,398925943,376690734,51.33060115,51.26469789
14216,57,220974484,208439328,37.93085587,45.29002622
14217,63,303250762,271034859,62.84707748,59.98568657
14218,58,374830630,350233976,61.54581961,57.17141688
